"year","padded_population_of_researchers","number_of_inmigrations","number_of_outmigrations","region","incomelevel","gdp_per_capita","population","syn"
2007,78,6,4,"Sub-Saharan Africa","LIC",542.284101222819,4519398,FALSE
2004,5050,71,49,"Middle East & North Africa","LMC",2624.79523151946,9893316,FALSE
1998,69,17,10,"East Asia & Pacific","HIC",16817.2388653005,360461,FALSE
2019,58,3,4,"North America","HIC",95221.8588720301,64564,FALSE
2006,24521,589,428,"Europe & Central Asia","HIC",97503.5407803783,5338871,FALSE
2020,120,7,6,"Sub-Saharan Africa","LMC",1165.05065002416,2022747,FALSE
2006,277,28,15,"East Asia & Pacific","LMC",1379.12699349288,13943888,FALSE
2018,1851,130,66,"Europe & Central Asia","HIC",52951.6815110898,479993,FALSE
2006,1110,50,43,"Sub-Saharan Africa","LMC",480.180053710938,39439505,FALSE
2010,25608,586,392,"East Asia & Pacific","UMC",10385.9644319555,28717731,FALSE
2001,2038,91,72,"Sub-Saharan Africa","LMC",434.810292146332,36336539,FALSE
2007,1069,106,97,"Latin America & Caribbean","HIC",24898.3345857045,3821362,FALSE
2006,11,4,1,"Latin America & Caribbean","UMC",5304.12609656574,68755,FALSE
2014,14,0,0,NA,NA,NA,NA,FALSE
2000,71,5,2,"Latin America & Caribbean","LMC",990.297834013789,6656725,FALSE
2008,656,12,6,"Europe & Central Asia","UMC",3595.03829536404,2026773,FALSE
2001,9214,338,207,"Europe & Central Asia","HIC",12072.9293569196,10266570,FALSE
2020,22,1,2,"East Asia & Pacific","HIC",13195.9358995539,75055,FALSE
2000,26,0,1,"Latin America & Caribbean","LMC",757.809066486217,8511728,FALSE
2017,1040,45,37,"East Asia & Pacific","LMC",3919.35121343969,74491918,FALSE
2001,132,16,16,"Sub-Saharan Africa","LMC",214.429331694379,18694946,FALSE
2019,38747,658,844,"Europe & Central Asia","HIC",19991.9724878805,10557560,FALSE
2016,130,7,4,"Europe & Central Asia","HIC",165497.097810044,27969,FALSE
2014,199,17,20,"Latin America & Caribbean","UMC",5365.24217204558,2701221,FALSE
2001,429,25,19,"Europe & Central Asia","HIC",48659.5988753233,421437,FALSE
2011,274555,6196,5992,"Europe & Central Asia","HIC",47396.1202078484,80982500,FALSE
2018,17998,351,407,"Sub-Saharan Africa","UMC",6844.03324966349,49996094,FALSE
2000,105,3,2,"Europe & Central Asia","LMC",175.555565352922,51662071,FALSE
2016,819,44,27,"Middle East & North Africa","HIC",24921.7141769982,1110343,FALSE
2009,2252,84,42,"Latin America & Caribbean","UMC",4164.97048299155,5084532,FALSE
2013,272778,4917,6016,"Europe & Central Asia","HIC",45612.7106221441,82348669,FALSE
2015,62,3,4,"Sub-Saharan Africa","LIC",969.616142771586,11098664,FALSE
1999,112,2,8,"Europe & Central Asia","UMC",1000.41683499719,1888525,FALSE
2015,2738,110,79,"Sub-Saharan Africa","LMC",1484.22707035644,16000781,FALSE
2010,8022,175,139,"East Asia & Pacific","LMC",2201.77682813479,91235504,FALSE
1998,580,33,50,"Sub-Saharan Africa","LMC",986.777352839567,10698691,FALSE
2020,34,5,2,"Latin America & Caribbean","HIC",89846.321220347,242882,FALSE
1998,920,61,39,"Middle East & North Africa","HIC",6742.82460298065,3549331,FALSE
2010,69,0,7,"East Asia & Pacific","HIC",30087.7155914011,265377,FALSE
2000,8,0,2,"East Asia & Pacific","UMC",2257.25470016356,54413,FALSE
2003,104,1,9,"Latin America & Caribbean","UMC",1682.99450068936,6037817,FALSE
2014,80,9,5,"Latin America & Caribbean","UMC",9124.54109297075,587559,FALSE
1998,69,4,0,"East Asia & Pacific","LMC",145.103665988054,45041636,FALSE
1999,280,11,9,"Sub-Saharan Africa","LIC",297.899506747022,25634162,FALSE
2013,136775,4202,3103,"Europe & Central Asia","HIC",41650.3678297162,65030575,FALSE
2018,20,2,5,"East Asia & Pacific","HIC",10124.7006220945,104874,FALSE
2013,43,1,1,"East Asia & Pacific","LMC",NA,23553551,FALSE
2019,430,27,6,"Sub-Saharan Africa","LIC",581.293411814954,28188977,FALSE
2014,227483,1597,1919,"East Asia & Pacific","HIC",24175.5833140113,50428893,FALSE
2003,16472,257,287,"East Asia & Pacific","UMC",2350.84549582551,65821360,FALSE
2007,1487,52,35,"Europe & Central Asia","HIC",109419.746953106,557297,FALSE
2016,39,5,1,"Europe & Central Asia","HIC",44885.517837773,33026,FALSE
2005,348,24,7,"Sub-Saharan Africa","LIC",400.321487695293,13366885,FALSE
2007,15,0,0,"Latin America & Caribbean","HIC",16491.8850906212,108466,FALSE
2011,54319,736,731,"Latin America & Caribbean","UMC",11317.4910611485,31068833,FALSE
2000,23,5,4,"Sub-Saharan Africa","LIC",251.349687342382,6672492,FALSE
2016,2802,59,50,"Europe & Central Asia","UMC",6542.8645398436,3480986,FALSE
1998,192,17,12,"East Asia & Pacific","LMC",502.997981069672,6998023,FALSE
2000,644,37,23,"Sub-Saharan Africa","LMC",1154.4790670714,8906469,FALSE
2011,22,2,1,"Sub-Saharan Africa","LIC",236.451347486235,9455733,FALSE
1999,28,2,4,"Latin America & Caribbean","HIC",11173.9493679991,259137,FALSE
2017,5615,145,112,"Sub-Saharan Africa","LIC",458.550920793057,140490722,FALSE
2020,155,12,1,"Sub-Saharan Africa","LIC",713.734882389203,4498604,FALSE
2015,79,5,0,"Europe & Central Asia","HIC",45936.9562817724,71013,FALSE
2018,204526,6250,6893,"Europe & Central Asia","HIC",50397.6854954706,61322463,FALSE
2017,42,0,10,"Latin America & Caribbean","UMC",7833.19501250117,113108,FALSE
2001,11873,292,287,"Europe & Central Asia","HIC",5276.03318905496,10210971,FALSE
2015,22543,1528,1362,"East Asia & Pacific","HIC",20398.0609870951,30150945,FALSE
2015,145,9,3,"Sub-Saharan Africa","LIC",242.539527292978,9126605,FALSE
2018,55555,1924,1911,"Europe & Central Asia","HIC",42012.6227191016,9215100,FALSE
2005,1565,45,48,"Europe & Central Asia","UMC",3362.97069325398,2055004,FALSE
2002,9848,454,354,"East Asia & Pacific","HIC",25756.7728723704,4166664,FALSE
2008,38,4,1,"Latin America & Caribbean","UMC",5665.96623188559,109308,FALSE
2006,230,10,6,"Sub-Saharan Africa","UMC",4027.96170615871,1928704,FALSE
2006,8832,77,70,"Europe & Central Asia","HIC",14944.996652175,2018122,FALSE
2017,143,9,2,"Latin America & Caribbean","UMC",6730.83696146221,593715,FALSE
2002,46,1,3,"Latin America & Caribbean","LMC",1118.94089428633,6837861,FALSE
2001,7626,134,217,"Europe & Central Asia","HIC",5722.1681828083,5376912,FALSE
2020,1,0,1,NA,NA,NA,NA,FALSE
2014,1011,69,52,"Sub-Saharan Africa","LIC",750.051809102295,15581251,FALSE
2002,14856,248,346,"Latin America & Caribbean","UMC",2579.48876933284,46813266,FALSE
2000,140,9,3,"East Asia & Pacific","LMC",341.036765772756,13016371,FALSE
1998,544,22,29,"Sub-Saharan Africa","LMC",564.379057652491,8906469,FALSE
2003,134,3,2,"East Asia & Pacific","LMC",435.418494422327,28189672,FALSE
2011,630,34,33,"Sub-Saharan Africa","LIC",810.182556036129,17004033,FALSE
2003,7183,124,213,"Europe & Central Asia","UMC",2283.84668494941,7540401,FALSE
2011,23767,526,435,"Latin America & Caribbean","HIC",13567.3572174332,4543399,FALSE
1999,7192,89,90,"Europe & Central Asia","HIC",5364.01024143422,4299642,FALSE
2019,241,15,6,"Latin America & Caribbean","LMC",1794.78918809148,9460798,FALSE
1999,744670,15570,15406,"North America","HIC",39490.2749557007,126633000,FALSE
2002,21662,566,606,"Europe & Central Asia","HIC",32294.0488606559,5339616,FALSE
2016,6313,212,180,"Sub-Saharan Africa","LIC",758.29769449458,68446011,FALSE
2017,248,6,11,"Latin America & Caribbean","LMC",1981.85836665362,8524063,FALSE
2001,42,5,2,"Latin America & Caribbean","UMC",1977.84061443838,5923852,FALSE
2005,1053,31,15,"Europe & Central Asia","UMC",2472.95725732287,2032544,FALSE
2011,1827,21,25,"Europe & Central Asia","UMC",4728.31307850676,2854191,FALSE
2020,1207,56,44,"Sub-Saharan Africa","LIC",856.356596550603,10932783,FALSE
2010,328,9,6,"Middle East & North Africa","LIC",10155.9736670317,21320671,FALSE
2002,1,1,1,"Latin America & Caribbean","UMC",5593.74841355014,68888,FALSE
2006,75,10,2,"Latin America & Caribbean","UMC",3474.12033122968,9164768,FALSE
2003,1122,50,48,"Latin America & Caribbean","HIC",6592.77664795341,3310202,FALSE
2018,1003,69,60,"Sub-Saharan Africa","LMC",2107.5030239722,5186824,FALSE
2020,245,12,8,"Europe & Central Asia","HIC",170875.682067431,406634,FALSE
2001,92,6,1,"Latin America & Caribbean","UMC",1682.99450068936,5123819,FALSE
2014,26513,760,637,"East Asia & Pacific","HIC",42976.6495882584,4714100,FALSE
2011,60,7,5,"Europe & Central Asia","HIC",51428.1896998835,35926,FALSE
2016,75,10,6,"Sub-Saharan Africa","LIC",1071.77776475545,5259006,FALSE
2020,3,0,0,NA,NA,NA,NA,FALSE
2003,346,18,10,"Sub-Saharan Africa","LIC",310.92971094405,19350299,FALSE
2013,55,11,6,"Latin America & Caribbean","HIC",19945.3151701577,390087,FALSE
2010,29845,851,643,"Europe & Central Asia","HIC",51919.9835754226,4867316,FALSE
2014,1235,62,75,"Sub-Saharan Africa","LIC",3188.76928710938,34419624,FALSE
2016,11442,340,256,"Latin America & Caribbean","UMC",9247.58067886159,37480493,FALSE
2016,15120,205,229,"Europe & Central Asia","HIC",16390.8821748507,5430798,FALSE
2019,2152,27,34,"Europe & Central Asia","UMC",4156.95750022299,3571068,FALSE
2016,16,0,1,"Latin America & Caribbean","HIC",28449.7129463044,47286,FALSE
2012,30129,716,443,"Europe & Central Asia","HIC",88163.2085931423,5213014,FALSE
2017,2244,150,195,"Middle East & North Africa","HIC",24297.7108020951,3193694,FALSE
2004,19,4,4,"Latin America & Caribbean","HIC",938.893297983287,27422,FALSE
2002,328,10,21,"Sub-Saharan Africa","LIC",390.303609657291,25634162,FALSE
2017,37,1,2,"Europe & Central Asia","HIC",43398.4285257227,45660,FALSE
1999,6,0,1,"East Asia & Pacific","UMC",1752.80181031194,101982,FALSE
2000,37,1,2,"North America","UMC",2953.24784377211,105150,FALSE
2002,21,1,1,"East Asia & Pacific","LMC",976.428268952486,471785,FALSE
2014,319,39,40,"East Asia & Pacific","HIC",43950.0454619989,297606,FALSE
2002,38554,659,511,"Latin America & Caribbean","UMC",3726.81166909716,175873720,FALSE
2002,1648,92,57,"Middle East & North Africa","LMC",1816.40649289574,5275532,FALSE
2007,1854,96,72,"Latin America & Caribbean","UMC",2822.68939668797,4454805,FALSE
2009,600,28,37,"Sub-Saharan Africa","UMC",6251.87742691265,1966977,FALSE
2020,930,75,19,"Sub-Saharan Africa","LIC",575.882781366465,20951639,FALSE
2014,31071,775,665,"Middle East & North Africa","LMC",3571.5569065135,97723799,FALSE
2007,619,14,15,"Europe & Central Asia","UMC",3064.27996263859,2947314,FALSE
1999,1268,58,47,"Middle East & North Africa","HIC",9321.80387371676,1992060,FALSE
2006,5581,168,116,"East Asia & Pacific","UMC",1136.75521127965,207855486,FALSE
2014,345223,8023,8503,"Europe & Central Asia","HIC",40217.0090116986,66548272,FALSE
2019,147,14,6,"Sub-Saharan Africa","LMC",4396.57912043588,27128337,FALSE
2004,15,0,0,"Middle East & North Africa","UMC",1904.87490234395,470458,FALSE
2013,23,0,1,"Europe & Central Asia","UMC",6208.2966545016,5560095,FALSE
2009,130,13,10,"Latin America & Caribbean","UMC",3194.26298162817,6034436,FALSE
2014,129,8,9,"Sub-Saharan Africa","LMC",1062.4561920176,5123222,FALSE
1998,29807,1355,1105,"East Asia & Pacific","HIC",24665.8362318216,5188008,FALSE
2007,752,51,40,"Europe & Central Asia","HIC",107475.320297978,277381,FALSE
2005,2503,36,29,"Europe & Central Asia","HIC",7854.76527867855,3292224,FALSE
2011,2032,167,88,"East Asia & Pacific","HIC",84779.4536941057,604167,FALSE
2001,170352,1615,1988,"Europe & Central Asia","HIC",24678.3910613218,60504420,FALSE
2016,266,7,9,"Latin America & Caribbean","LMC",1306.84531878112,9626842,FALSE
2018,504,23,15,"East Asia & Pacific","LMC",2742.25004998231,9542486,FALSE
2003,464,15,9,"Sub-Saharan Africa","LIC",343.128747081482,11201063,FALSE
2005,228,6,19,"East Asia & Pacific","LMC",986.018040837747,2061014,FALSE
2015,747,64,40,"Middle East & North Africa","LIC",578.512010463323,29274002,FALSE
2011,15238,198,219,"Latin America & Caribbean","UMC",6809.15980400146,27092604,FALSE
2018,91,31,55,NA,NA,NA,NA,FALSE
2002,13,2,0,"Latin America & Caribbean","UMC",4720.16821801746,160594,FALSE
2004,1118,54,32,"Europe & Central Asia","HIC",47334.9306537723,277381,FALSE
2009,59170,661,744,"Latin America & Caribbean","UMC",10178.4422371206,106886790,FALSE
2004,6838,384,261,"Europe & Central Asia","HIC",57768.6980958462,4087500,FALSE
2000,17200,391,242,"Europe & Central Asia","HIC",13472.1376092623,9971727,FALSE
2007,1107,106,39,"Middle East & North Africa","HIC",22552.1990071233,3823701,FALSE
1998,16,1,0,"Sub-Saharan Africa","HIC",8209.51444287,45203,FALSE
2005,163,4,3,"East Asia & Pacific","LMC",476.551885951653,4051890,FALSE
2001,3392,65,79,"Europe & Central Asia","UMC",914.785719885861,3318407,FALSE
2014,1425,53,66,"Sub-Saharan Africa","LIC",1797.40087890625,35159792,FALSE
2017,1616,33,41,"Middle East & North Africa","LIC",1488.41626930017,32956100,FALSE
2019,425,19,26,"Sub-Saharan Africa","LIC",722.131226789418,7314773,FALSE
2012,749,53,38,"Middle East & North Africa","LIC",893.716493735327,22337563,FALSE
2007,26207,475,297,"Europe & Central Asia","HIC",54329.1618599624,5313399,FALSE
2009,1802,31,35,"Europe & Central Asia","UMC",4430.42624189518,3240550,FALSE
2019,386,31,25,"East Asia & Pacific","UMC",5825.19966514413,874923,FALSE
2020,27086,1596,1714,"Europe & Central Asia","HIC",80848.3019020489,5703569,FALSE
1998,160,7,7,"Sub-Saharan Africa","LIC",263.498384244829,10620475,FALSE
2009,114,11,9,"Latin America & Caribbean","UMC",2110.55305353857,6037817,FALSE
2011,172,13,3,"East Asia & Pacific","LMC",1221.72396039938,16126866,FALSE
2003,18354,322,436,"Europe & Central Asia","HIC",4398.07217426732,41136546,FALSE
2010,19729,292,346,"Europe & Central Asia","HIC",13077.305465178,9971727,FALSE
2016,819,45,35,"Latin America & Caribbean","LMC",3885.62361617465,11263015,FALSE
2005,803,10,11,"Europe & Central Asia","UMC",3771.27895733845,2032544,FALSE
2012,9,0,1,"East Asia & Pacific","UMC",4125.42545363426,17805,FALSE
2020,532,23,14,"East Asia & Pacific","LMC",2584.32780208122,6891363,FALSE
2005,6199,212,180,"Europe & Central Asia","HIC",10691.4465495259,16661462,FALSE
2015,689,19,10,"Europe & Central Asia","UMC",7387.87296917548,616969,FALSE
2000,1158,100,46,"East Asia & Pacific","UMC",4087.56259349384,4945205,FALSE
2017,8275,111,107,"Europe & Central Asia","UMC",9499.57250428248,17035551,FALSE
2015,5658,210,178,"Sub-Saharan Africa","LMC",929.7998046875,72854261,FALSE
2014,7866,83,70,"Europe & Central Asia","HIC",15695.1151541059,2932367,FALSE
2007,2,1,2,NA,NA,NA,NA,FALSE
2006,206,16,13,"Europe & Central Asia","HIC",62576.8016380509,34000,FALSE
2004,24,1,2,"East Asia & Pacific","LMC",1377.86200603136,634627,FALSE
2008,199,12,8,"Latin America & Caribbean","HIC",16309.8860079404,47790,FALSE
2002,14856,217,329,"Sub-Saharan Africa","LMC",401.092370099667,170075932,FALSE
2001,7,3,0,"Middle East & North Africa","LMC",668.854619037377,197497,FALSE
2011,184065,3809,4351,"East Asia & Pacific","HIC",55049.571919719,23815995,FALSE
2018,43537,729,762,"Middle East & North Africa","HIC",36206.5222171621,8215700,FALSE
1999,3745,61,70,"Middle East & North Africa","LMC",1646.19266238886,24950762,FALSE
2003,19,5,2,"Latin America & Caribbean","UMC",4708.29493729742,416738,FALSE
2020,89,7,5,"Latin America & Caribbean","UMC",7726.37826175954,374693,FALSE
2006,110,1,3,"Sub-Saharan Africa","LIC",316.365647620285,8838369,FALSE
2006,163939,1708,1774,"Europe & Central Asia","HIC",33529.7266014361,59539717,FALSE
2011,70,5,2,"Sub-Saharan Africa","LIC",710.258132978222,4519398,FALSE
2006,105,4,4,"Latin America & Caribbean","LMC",301.58191391586,4898400,FALSE
2006,30461,724,738,"Europe & Central Asia","HIC",40669.3269586152,6972800,FALSE
2004,23654,284,467,"Europe & Central Asia","HIC",6655.33300865319,10862132,FALSE
2003,11,0,1,"East Asia & Pacific","LMC",2088.20954444136,233952,FALSE
2011,19259,1079,1211,"East Asia & Pacific","HIC",22441.571143891,31482498,FALSE
2014,20,2,4,"East Asia & Pacific","UMC",3536.90150504438,10918,FALSE
2007,16134,603,484,"East Asia & Pacific","UMC",4996.37209760091,106886790,FALSE
2020,3620,81,99,"Latin America & Caribbean","HIC",19026.0498173005,3391662,FALSE
2014,558,37,25,"East Asia & Pacific","HIC",64706.9899026035,416656,FALSE
2020,152,12,2,"Sub-Saharan Africa","LMC",994.239764062067,728889,FALSE
2013,26,5,5,"Latin America & Caribbean","HIC",3138.08220913067,759809,FALSE
2004,420,40,16,"Sub-Saharan Africa","LIC",438.793472737165,7677565,FALSE
1999,12,0,1,"Europe & Central Asia","HIC",37473.7869829611,32141,FALSE
2017,1305,70,53,"East Asia & Pacific","LMC",2190.2324398772,16396860,FALSE
2001,2697,105,98,"East Asia & Pacific","UMC",2092.98288625558,64222580,FALSE
2016,20,3,7,"Latin America & Caribbean","HIC",41377.1466009652,24323,FALSE
2020,9418,252,201,"Latin America & Caribbean","UMC",6912.10398761205,37480493,FALSE
2006,4988,113,111,"Middle East & North Africa","LMC",4477.61832070861,22085929,FALSE
2019,237,27,27,"East Asia & Pacific","HIC",19743.9590211525,245950,FALSE
2018,18,0,1,"East Asia & Pacific","LMC",1410.01464320535,111805,FALSE
2010,22036,588,512,"Latin America & Caribbean","HIC",9418.27492364213,10193998,FALSE
1999,535,35,28,"Sub-Saharan Africa","LIC",110.460874721483,23279247,FALSE
1999,108,17,13,"East Asia & Pacific","HIC",14346.1862627122,168624,FALSE
2020,1960,75,56,"Sub-Saharan Africa","LIC",748.010925292969,17881167,FALSE
2007,1540,52,35,"Europe & Central Asia","HIC",54576.7448146565,438048,FALSE
2002,329,14,10,"Middle East & North Africa","HIC",31440.2207124561,931600,FALSE
2014,1073,36,41,"Latin America & Caribbean","HIC",16139.105257595,1913822,FALSE
2015,36,4,0,"East Asia & Pacific","LMC",3023.58544607879,111539,FALSE
2010,180,12,5,"Sub-Saharan Africa","LIC",450.409713679088,5094780,FALSE
2015,106,3,7,"Latin America & Caribbean","HIC",23204.9705641255,390311,FALSE
2003,5703,157,158,"Europe & Central Asia","HIC",8060.86870292424,5373374,FALSE
1999,32527,387,296,"Middle East & North Africa","LMC",1297.57469006096,65072018,FALSE
2017,555,26,13,"Latin America & Caribbean","UMC",6517.19267514764,6282196,FALSE
2017,725,29,11,"Sub-Saharan Africa","LIC",813.395006476051,10840334,FALSE
2000,91951,1292,1043,"Europe & Central Asia","HIC",21510.8362454011,40567864,FALSE
2017,671,45,36,"East Asia & Pacific","HIC",25869.1129129041,1337090,FALSE
2010,60,9,9,"Sub-Saharan Africa","LIC",542.284101222819,1834552,FALSE
2012,2862,103,85,"Sub-Saharan Africa","LMC",1594.06011023775,19878036,FALSE
2016,100715,794,908,"Europe & Central Asia","UMC",10766.6099388208,142849468,FALSE
2018,12745,388,221,"Sub-Saharan Africa","LMC",2504.87910104512,193495907,FALSE
2002,1862,58,61,"South Asia","LMC",427.506327495099,24964450,FALSE
2013,6804,137,86,"Middle East & North Africa","LMC",3180.17065429688,29661270,FALSE
2004,16,0,0,"North America","HIC",39583.9311942065,34000,FALSE
2001,112,8,9,"Latin America & Caribbean","HIC",11998.1756941147,47789,FALSE
2011,31263,1018,791,"Europe & Central Asia","HIC",40669.3269586152,5137232,FALSE
2011,174,30,32,NA,NA,NA,NA,FALSE
2010,41,3,1,"Latin America & Caribbean","UMC",5352.09598732755,110254,FALSE
2001,2,0,2,"Latin America & Caribbean","UMC",5593.74841355014,68442,FALSE
2012,749,30,13,"Latin America & Caribbean","LMC",3068.81255516456,11435533,FALSE
2012,1689,78,43,"Sub-Saharan Africa","LIC",584.362867276266,32341728,FALSE
1999,259011,2461,2897,"East Asia & Pacific","HIC",34479.7679298388,127149000,FALSE
2005,14841,180,240,"Europe & Central Asia","HIC",11223.3993032598,10087065,FALSE
2000,340,20,18,"Sub-Saharan Africa","LIC",315.171467966736,12755648,FALSE
2003,712,36,55,"Sub-Saharan Africa","LMC",529.186882814375,11984644,FALSE
2016,557,37,44,"Latin America & Caribbean","HIC",12837.2479584282,3328651,FALSE
2020,150213,850,1915,"East Asia & Pacific","HIC",48359.0011950597,22031750,FALSE
2014,179,31,28,NA,NA,NA,NA,FALSE
2005,20,2,3,"East Asia & Pacific","LMC",3011.10080866752,107588,FALSE
2014,23057,534,392,"Latin America & Caribbean","HIC",13788.2400157601,4543399,FALSE
2019,25599,970,963,"East Asia & Pacific","HIC",41760.5947840005,5363352,FALSE
2008,320031,2570,3087,"East Asia & Pacific","HIC",44968.1562349739,127833000,FALSE
2001,457,23,18,"Europe & Central Asia","UMC",1658.03114240952,2930622,FALSE
2013,10,0,0,NA,NA,NA,NA,FALSE
2019,8586,332,209,"Sub-Saharan Africa","LMC",1998.72266581387,30870641,FALSE
1999,561,42,27,"Sub-Saharan Africa","LIC",123.830216431633,22537658,FALSE
2017,29921,1424,1222,"East Asia & Pacific","HIC",61273.9916594455,5685807,FALSE
2000,7,1,1,"Sub-Saharan Africa","LMC",1693.97855163071,570130,FALSE
2018,1869,185,139,"Latin America & Caribbean","HIC",27278.8830499205,3805214,FALSE
2008,26,2,1,NA,NA,NA,NA,FALSE
2013,151,17,8,"Sub-Saharan Africa","LMC",5083.82685110166,743274,FALSE
2008,47,2,4,"Middle East & North Africa","LMC",1322.72625083956,1050809,FALSE
2014,706,17,13,"East Asia & Pacific","LMC",2742.25004998231,8464153,FALSE
2002,21,3,9,"East Asia & Pacific","HIC",16817.2388653005,30335,FALSE
2017,1016,69,57,"Sub-Saharan Africa","LIC",756.547641107379,17881167,FALSE
2004,43483,2078,1716,"Europe & Central Asia","HIC",44123.4070679055,8895960,FALSE
2002,1853,113,79,"Sub-Saharan Africa","LMC",462.61821577443,91817929,FALSE
2013,10,0,0,"Latin America & Caribbean","HIC",24602.9110248067,58177,FALSE
2003,25,7,4,"Latin America & Caribbean","HIC",976.993263294444,760323,FALSE
2016,43416,764,306,"East Asia & Pacific","UMC",3902.661675559,219731479,FALSE
2010,2514,88,76,"Europe & Central Asia","HIC",41301.273219718,1110974,FALSE
2009,60,2,10,"Europe & Central Asia","HIC",44902.38771225,56172,FALSE
2010,538,60,40,"Middle East & North Africa","UMC",4542.31167332328,4076708,FALSE
2019,18,1,7,"Latin America & Caribbean","HIC",36663.2087550584,30335,FALSE
2001,2697,105,122,"Europe & Central Asia","UMC",1841.04295540394,8256786,FALSE
2020,12,1,1,NA,NA,NA,NA,FALSE
2003,980,46,43,"Latin America & Caribbean","UMC",2546.85021359809,26252239,FALSE
2019,14,2,3,"Latin America & Caribbean","UMC",11270.4747103578,527946,FALSE
2004,26,2,1,NA,NA,NA,NA,FALSE
2016,189,31,24,NA,NA,NA,NA,FALSE
2014,74,9,4,"Sub-Saharan Africa","LIC",644.455576742833,4427313,FALSE
2010,26085,657,702,"East Asia & Pacific","HIC",31515.5292103443,5079623,FALSE
2017,220319,3121,3542,"Europe & Central Asia","HIC",30960.7315088902,51361911,FALSE
2006,217,18,7,"Latin America & Caribbean","UMC",5188.361792249,6618695,FALSE
2015,80,7,2,"Sub-Saharan Africa","LMC",3739.27827890219,1006259,FALSE
2007,201,12,11,"Middle East & North Africa","LIC",980.031032399576,20188799,FALSE
2017,270933,2754,4097,"Europe & Central Asia","HIC",35560.0814062288,60421760,FALSE
2002,793,49,36,"Europe & Central Asia","HIC",32409.2161491753,425994,FALSE
2000,1486,62,70,"South Asia","LMC",404.486143135093,75301026,FALSE
2009,642,19,15,"Europe & Central Asia","UMC",3099.59196989479,2026773,FALSE
2018,15,1,2,"Latin America & Caribbean","HIC",16374.256885994,51123,FALSE
2020,50784,1010,1046,"East Asia & Pacific","UMC",11045.5801207599,30606459,FALSE
2016,65,7,4,"Middle East & North Africa","LMC",2755.83829341814,2037677,FALSE
2006,56,5,3,"North America","HIC",101875.28407346,37609,FALSE
2002,218,18,13,"East Asia & Pacific","UMC",1964.13020427679,874923,FALSE
2002,21,0,1,"East Asia & Pacific","LMC",2195.18715620947,212422,FALSE
2009,87,10,7,"Sub-Saharan Africa","LIC",562.499219444201,1356189,FALSE
2000,1202,14,15,"Europe & Central Asia","LMC",409.497733926552,11201063,FALSE
2018,4758,74,251,"Latin America & Caribbean","INX",15975.7293753361,28490453,FALSE
2006,633,13,15,"Europe & Central Asia","UMC",1034.39197746993,2874299,FALSE
2004,748,53,39,"Europe & Central Asia","HIC",32381.6252356488,303782,FALSE
2002,41,1,3,"Europe & Central Asia","HIC",20652.8417042443,63740,FALSE
2007,85,9,31,"Latin America & Caribbean","UMC",3793.09738500959,5405326,FALSE
2013,548,20,18,"Sub-Saharan Africa","LIC",722.875356284026,7314773,FALSE
2020,1960,75,36,"Europe & Central Asia","UMC",4980.90468838995,3440027,FALSE
2010,1956,123,90,"Europe & Central Asia","HIC",41301.273219718,1187280,FALSE
2013,72,2,3,"Latin America & Caribbean","HIC",5495.37708403183,744230,FALSE
2009,76614,561,602,"Europe & Central Asia","HIC",11254.3140875349,76342971,FALSE
2005,1447,103,61,"Middle East & North Africa","HIC",42190.5543794633,3206870,FALSE
2011,18477,442,367,"Latin America & Caribbean","UMC",7392.94359956308,40788453,FALSE
2015,2518,144,110,"East Asia & Pacific","HIC",32012.1875249538,3740410,FALSE
2013,273,26,5,"Sub-Saharan Africa","LMC",959.36021750698,11333365,FALSE
2012,490,20,23,"Sub-Saharan Africa","LIC",561.649634566263,2444916,FALSE
2019,20770,252,245,"Europe & Central Asia","HIC",15040.0369182791,10000023,FALSE
2000,31821,435,331,"Latin America & Caribbean","UMC",8250.67317414321,96334810,FALSE
2015,6444,180,132,"East Asia & Pacific","LMC",2992.07153198845,101325201,FALSE
2018,263,33,39,"Sub-Saharan Africa","LIC",581.293411814954,16037915,FALSE
2014,24993,656,405,"East Asia & Pacific","UMC",5822.37778295314,71307763,FALSE
1998,20855,472,454,"Middle East & North Africa","UMC",8032.99212058539,97873442,FALSE
2017,6,0,0,NA,NA,NA,NA,FALSE
2002,255,23,11,"Middle East & North Africa","LIC",359.048603616665,1522223,FALSE
2002,495,23,22,"Europe & Central Asia","HIC",15092.826171875,1369075,FALSE
2020,1895,73,43,"Europe & Central Asia","UMC",4688.34582317708,3756441,FALSE
2016,333321,2676,4402,"Europe & Central Asia","HIC",30242.3861352184,66058859,FALSE
2003,1146,26,39,"Europe & Central Asia","UMC",2440.47882968871,3133133,FALSE
2000,62,4,4,"East Asia & Pacific","LMC",145.103665988054,24411191,FALSE
2010,18305,170,234,"Europe & Central Asia","HIC",9404.38125929526,19265250,FALSE
2008,20,2,2,"Europe & Central Asia","HIC",71970.0587250442,37355,FALSE
2016,68,4,11,"Sub-Saharan Africa","UMC",7317.39002392662,1502091,FALSE
2016,480,22,25,"Sub-Saharan Africa","UMC",11403.2527870674,1836705,FALSE
1999,1202,15,32,"Europe & Central Asia","LMC",396.377979026633,11498818,FALSE
2009,59,6,5,"Sub-Saharan Africa","LMC",866.475127181991,5049878,FALSE
2000,1158,26,14,"Europe & Central Asia","HIC",6378.66652057115,1346810,FALSE
